"AKR1C2",
"FABP7",
"ACOX2",
"GABRA2",
"GABRG2",
"GABRR1",
"GABRP",
"GABRQ",
"NCAM1",
"NCAM2",
"GFRA1",
"GFRA3",
"OLIG1",
"OLIG2",
"BAI1",
"BAI3",
"DNER",
"NRXN3",
"MAG",
"NTS",
"RTN4RL1",
"AQP4",
"CHRNB2",
"PMP2",
"MPZ",
"BDNF",
"GAD1",
"CNTNAP3",
"CDH2",
"SLITRK5",
"ISL2",
"MOG",
"FABP7",
"PCDHA1",
"PPP1R1B",
"GLRB",
"GRIK3",
"NPTX2",
"GRIA2",
"GAP43",
"LPPR1",
"NDRG4",
"APLP1",
"NPTXR",
"NOVA1",
"NGEF",
"LRFN5",
"ENPP5",
"ENTPD2",
"MT3",
"PCDHA2",
"PCDHA3",
"PCDHA6",
"PCDHA7",
"PCDHA11",
"PCDHA12",
"PCDHA13",
"PCDHB2",
"PCDHB5",
"PCDHB6",
"PCDHB16",
"PCDHB17",
"PCDHAC1",
"PCDHAC2",
"PCDH20",
"RELN",
"TENM1",
"TENM3",
"POU3F3",
"POU6F2",
"TRIM71",
"FEZF1",
"FRMPD4",
"GPR98",
"LRRTM4",
"CHRDL1",
"SLITRK6",
"GPC4",
"GDNF",
"ALDH1A3",
"ECRG4",
"SDK2",
"ZNF711",
"NFASC",
"MAB21L1",
"ASTN1",
"DOK5",
"RBM11",
"LIFR",
"SOX2",
"SOX11",
"HOXA7",
"HOXB9",
"HOXB13",
"HOXC12",
"HOXD13",
"FOXA3",
"FOXP2",
"CNTN3",
"CNTN4",
"CNTN6",
"NRG1",
"SMOC1",
"DLK1",
"SHISA2",
"DCDC2",
"TFAP2C",
"SALL1",
"MEOX2",
"EYA1",
"HAND2",
"TLX1",
"TLX2",
"ABCB5",
"MS4A1",
"CXCL1",
"CXCL5",
"CXCL6",
"CCL20",
"IL11",
"KCNN4",
"REG3G",
"SPP1",
"RORC",
"GBP7",
"MAGEA1",
"MAGEA4",
"MAGEA5",
"MAGEA10",
"MAGEA11",
"MAGEB1",
"MAGEB2",
"MAGEC1",
"MAGEC2",
"MAGED4",
"MAGED4B",
"CTAG1B",
"CTAG2",
"PAGE1",
"PAGE5",
"BAGE",
"XAGE1D",
"CT55",
"ANKRD45",
"DNAH2",
"DNAH9",
"DNALI1",
"SEMA3A",
"SEMA3E",
"KANK4",
"RHOD",
"STK33",
"FSD1",
"ARC",
"COCH",
"RND2",
"ARHGEF16",
"EFS",
"LOXL3",
"LOXL4",
"ITIH5",
"ITIH6",
"ADAMTS3",
"ADAMTS20",
"VIT",
"MMP16",
"LEPREL1",
